sn,cor,rt,zRT
1,0,0.634,0.983054533
1,1,0.356,0.144994159
1,1,0.337,0.087716651
1,1,0.386,0.235432329
1,1,0.323,0.045512172
1,1,0.287,-0.063013632
1,1,0.286,-0.066028238
1,1,0.273,-0.105218112
1,1,0.251,-0.171539436
1,1,0.268,-0.12029114
1,1,0.249,-0.177568648
1,1,0.252,-0.168524831
1,1,0.217,-0.274036029
1,1,0.249,-0.177568648
1,1,0.187,-0.364474199
1,1,0.179,-0.388591044
1,1,0.217,-0.274036029
1,1,0.056,-0.759387541
1,1,0.269,-0.117276534
1,1,0.269,-0.117276534
1,1,0.268,-0.12029114
1,1,0.301,-0.020809153
1,1,0.313,0.015366115
1,1,0.3,-0.023823759
1,1,0.271,-0.111247323
1,1,0.236,-0.216758521
1,1,0.188,-0.361459593
1,1,0.295,-0.038896787
1,1,0.267,-0.123305746
1,1,0.251,-0.171539436
1,1,0.333,0.075658228
1,1,0.252,-0.168524831
1,1,0.254,-0.162495619
1,1,0.219,-0.268006817
1,1,0.269,-0.117276534
1,1,0.269,-0.117276534
1,1,0.436,0.386162612
1,1,0.262,-0.138378774
1,1,0.252,-0.168524831
1,1,0.708,1.206135353
1,1,0.37,0.187198638
1,1,0.468,0.482629993
1,1,0.502,0.585126586
1,1,0.139,-0.509175271
1,1,0.201,-0.322269719
1,1,0.251,-0.171539436
1,1,0.245,-0.18962707
1,1,0.285,-0.069042844
1,1,0.019,-0.87092795
1,1,0.269,-0.117276534
1,1,0.169,-0.418737101
1,1,0.203,-0.316240508
1,1,0.073,-0.708139245
1,1,0.038,-0.813650443
1,1,0.036,-0.819679654
1,1,0.021,-0.864898739
1,1,0.353,0.135950342
1,1,0.187,-0.364474199
1,1,0.239,-0.207714704
1,1,0.17,-0.415722495
1,1,0.352,0.132935736
1,1,0.349,0.123891919
1,1,0.205,-0.310211297
1,1,0.502,0.585126586
1,1,0.337,0.087716651
1,1,0.403,0.286680625
1,1,0.224,-0.252933789
1,1,0.37,0.187198638
1,1,0.284,-0.072057449
1,1,0.219,-0.268006817
1,1,0.369,0.184184032
1,1,0.137,-0.515204482
1,1,0.503,0.588141191
1,1,0.419,0.334914315
1,1,0.383,0.226388512
1,1,0.414,0.319841287
1,1,0.471,0.49167381
1,1,0.397,0.268592991
1,1,0.303,-0.014779942
1,1,0.251,-0.171539436
1,1,0.3,-0.023823759
1,1,0.801,1.486493679
1,1,0.321,0.03948296
1,1,0.457,0.449469331
1,1,0.24,-0.204700099
1,1,0.301,-0.020809153
1,1,0.304,-0.011765336
1,1,0.203,-0.316240508
1,1,0.355,0.141979553
1,1,0.287,-0.063013632
1,1,0.353,0.135950342
1,1,0.216,-0.277050634
1,1,0.303,-0.014779942
1,1,0.372,0.193227849
1,1,0.336,0.084702045
1,1,0.363,0.166096398
1,1,0.452,0.434396302
1,1,0.369,0.184184032
1,1,0.406,0.295724442
1,1,0.389,0.244476145
1,1,0.324,0.048526777
1,1,0.284,-0.072057449
1,1,0.283,-0.075072055
1,1,0.301,-0.020809153
1,1,0.25,-0.174554042
1,1,0.352,0.132935736
1,1,0.393,0.256534568
1,1,0.285,-0.069042844
1,1,0.251,-0.171539436
1,1,0.154,-0.463956186
1,1,0.323,0.045512172
1,1,0.308,0.000293087
1,1,0.323,0.045512172
1,1,0.306,-0.005736125
1,1,0.369,0.184184032
1,1,0.318,0.030439143
1,1,0.24,-0.204700099
1,1,0.256,-0.156466408
1,1,0.173,-0.406678678
1,1,0.313,0.015366115
1,1,0.218,-0.271021423
1,1,0.303,-0.014779942
1,1,0.153,-0.466970791
1,1,0.038,-0.813650443
1,1,0.203,-0.316240508
1,1,0.005,-0.91313243
1,1,0.365,0.17212561
1,1,0.353,0.135950342
1,1,0.434,0.3801334
1,1,0.314,0.018380721
1,1,0.352,0.132935736
1,1,0.303,-0.014779942
1,1,0.367,0.178154821
1,1,0.371,0.190213244
1,1,0.353,0.135950342
1,1,0.283,-0.075072055
1,1,0.291,-0.05095521
1,1,0.266,-0.126320351
1,1,0.253,-0.165510225
1,0,0.549,0.726813052
1,1,0.304,-0.011765336
1,1,0.317,0.027424538
1,1,0.303,-0.014779942
1,1,0.301,-0.020809153
1,1,0.253,-0.165510225
1,1,0.236,-0.216758521
1,1,0.284,-0.072057449
1,1,0.285,-0.069042844
1,1,0.19,-0.355430382
1,1,0.275,-0.0991889
1,1,0.289,-0.056984421
1,1,0.219,-0.268006817
1,1,0.141,-0.503146059
1,1,0.103,-0.617701075
1,1,0.239,-0.207714704
1,1,0.253,-0.165510225
1,1,0.237,-0.213743916
1,1,0.17,-0.415722495
1,1,0.376,0.205286272
1,1,0.253,-0.165510225
1,1,0.2,-0.325284325
1,1,0.224,-0.252933789
1,1,0.254,-0.162495619
1,1,0.272,-0.108232717
1,1,0.3,-0.023823759
1,1,0.327,0.057570594
1,1,0.269,-0.117276534
1,1,0.123,-0.557408961
1,1,0.268,-0.12029114
1,1,0.267,-0.123305746
1,1,0.25,-0.174554042
1,1,0.257,-0.153451802
1,1,0.151,-0.473000003
1,1,0.277,-0.093159689
1,1,0.105,-0.611671863
1,1,0.084,-0.674978582
1,1,0.185,-0.37050341
1,1,0.003,-0.919161641
1,1,0.268,-0.12029114
1,1,0.069,-0.720197667
1,1,0.171,-0.412707889
1,1,0.252,-0.168524831
1,1,0.22,-0.264992212
1,1,0.268,-0.12029114
1,1,0.104,-0.614686469
1,1,0.256,-0.156466408
1,1,0.152,-0.469985397
1,1,0.152,-0.469985397
1,1,0.245,-0.18962707
1,1,0.252,-0.168524831
1,1,0.267,-0.123305746
1,1,0.353,0.135950342
1,1,0.069,-0.720197667
1,1,0.05,-0.777475175
1,1,0.053,-0.768431358
1,1,0.262,-0.138378774
1,1,0.199,-0.328298931
1,1,0.251,-0.171539436
1,1,0.241,-0.201685493
1,1,0.136,-0.518219088
1,1,0.171,-0.412707889
1,1,0.082,-0.681007794
1,1,0.257,-0.153451802
1,1,0.162,-0.43983934
1,1,0.153,-0.466970791
1,1,0.033,-0.828723471
1,1,0.188,-0.361459593
1,1,0.08,-0.687037005
1,1,0.017,-0.876957162
1,1,0.231,-0.23183155
1,1,0.15,-0.476014608
1,1,0.449,0.425352485
1,1,0.104,-0.614686469
1,1,0.216,-0.277050634
1,1,0.517,0.630345671
1,1,0.301,-0.020809153
1,1,0.135,-0.521233693
1,1,0.404,0.28969523
1,1,0.006,-0.910117824
1,1,0.13,-0.536306722
1,1,0.231,-0.23183155
1,1,0.268,-0.12029114
1,1,0.359,0.154037976
1,1,0.168,-0.421751706
1,1,0.232,-0.228816944
1,1,0.235,-0.219773127
1,1,0.301,-0.020809153
1,1,0.353,0.135950342
1,1,0.356,0.144994159
1,1,0.385,0.232417723
1,1,0.152,-0.469985397
1,1,0.136,-0.518219088
1,1,0.13,-0.536306722
1,1,0.201,-0.322269719
1,1,0.219,-0.268006817
1,1,0.232,-0.228816944
1,1,0.251,-0.171539436
1,1,0.275,-0.0991889
1,1,0.036,-0.819679654
1,1,0.21,-0.295138268
1,1,0.232,-0.228816944
1,1,0.088,-0.66292016
1,1,0.217,-0.274036029
1,1,0.07,-0.717183062
1,1,0.04,-0.807621231
1,1,0.088,-0.66292016
1,1,0.109,-0.599613441
1,1,0.936,1.893465444
1,1,0.485,0.533878289
1,1,0.386,0.235432329
1,1,0.47,0.488659204
1,1,0.252,-0.168524831
1,1,0.252,-0.168524831
1,1,0.187,-0.364474199
1,1,0.09,-0.656890948
1,1,0.191,-0.352415776
1,1,0.131,-0.533292116
1,1,0.103,-0.617701075
1,1,0.307,-0.002721519
1,1,0.251,-0.171539436
1,1,0.086,-0.668949371
1,1,0.251,-0.171539436
1,1,0.219,-0.268006817
1,1,0.267,-0.123305746
1,1,0.237,-0.213743916
1,1,0.272,-0.108232717
1,1,0.287,-0.063013632
1,1,0.292,-0.047940604
1,1,0.237,-0.213743916
1,1,0.241,-0.201685493
1,1,0.206,-0.307196691
1,1,0.32,0.036468355
1,1,0.326,0.054555989
1,1,0.291,-0.05095521
1,1,0.232,-0.228816944
1,1,0.272,-0.108232717
1,1,0.235,-0.219773127
1,1,0.186,-0.367488804
1,1,0.233,-0.225802338
1,1,0.131,-0.533292116
1,1,0.29,-0.053969815
1,1,0.226,-0.246904578
1,1,0.319,0.033453749
1,1,0.191,-0.352415776
1,1,0.303,-0.014779942
1,1,0.29,-0.053969815
1,1,0.509,0.606228825
1,1,0.231,-0.23183155
1,1,0.409,0.304768259
1,1,0.357,0.148008764
1,1,0.15,-0.476014608
1,1,0.402,0.283666019
1,1,0.358,0.15102337
1,1,0.22,-0.264992212
1,1,0.119,-0.569467384
1,1,0.14,-0.506160665
1,1,0.441,0.40123564
1,1,0.333,0.075658228
1,1,0.259,-0.147422591
1,1,0.028,-0.843796499
1,1,0.383,0.226388512
1,1,0.226,-0.246904578
1,1,0.189,-0.358444987
1,1,0.312,0.012351509
1,1,0.069,-0.720197667
1,1,0.237,-0.213743916
1,1,0.326,0.054555989
1,1,0.291,-0.05095521
1,1,0.292,-0.047940604
1,1,0.235,-0.219773127
1,1,0.003,-0.919161641
1,1,0.888,1.748764372
1,1,0.818,1.537741976
1,1,0.208,-0.30116748
1,1,0.193,-0.346386565
1,1,0.223,-0.255948395
1,1,0.236,-0.216758521
1,1,0.275,-0.0991889
1,1,0.14,-0.506160665
1,1,0.139,-0.509175271
1,1,0.349,0.123891919
1,1,0.289,-0.056984421
1,1,0.275,-0.0991889
1,1,0.241,-0.201685493
1,1,0.288,-0.059999027
1,1,0.253,-0.165510225
1,1,0.235,-0.219773127
1,1,0.157,-0.454912369
1,1,0.259,-0.147422591
1,1,0.42,0.337928921
1,1,0.208,-0.30116748
1,1,0.409,0.304768259
1,1,0.336,0.084702045
1,1,0.358,0.15102337
1,1,0.32,0.036468355
1,1,0.692,1.157901662
1,1,0.241,-0.201685493
1,1,0.352,0.132935736
1,1,0.47,0.488659204
1,1,0.257,-0.153451802
1,1,0.241,-0.201685493
1,1,0.174,-0.403664072
1,1,0.408,0.301753653
1,1,0.298,-0.02985297
1,1,0.353,0.135950342
1,1,0.257,-0.153451802
1,1,0.003,-0.919161641
1,1,0.123,-0.557408961
1,1,0.183,-0.376532621
1,1,0.05,-0.777475175
